event,elevation,conversion
800m,7048,0.9883
mile,7048,0.9621
3000m,7048,0.9567
5000m,7048,0.9537
800m,7544,0.9864
mile,7544,0.9578
3000m,7544,0.9518
5000m,7544,0.9483
800m,4958,0.9944
mile,4958,0.9788
3000m,4958,0.9754
5000m,4958,0.9729
800m,3676,0.9963
mile,3676,0.986
3000m,3676,0.9849
5000m,3676,0.9836
800m,3124,0.9972
mile,3124,0.9888
3000m,3124,0.9885
5000m,3124,0.9875
800m,3333,0.9973
mile,3333,0.989
3000m,3333,0.9872
5000m,3333,0.9867
800m,5378,0.9934
mile,5378,0.9754
3000m,5378,0.972
5000m,5378,0.97
800m,4926,0.9945
mile,4926,0.9789
3000m,4926,0.9771
5000m,4926,0.9738
800m,5782,0.9923
mile,5782,0.9754
3000m,5782,0.9686
5000m,5782,0.9671
800m,3281,0.9971
mile,3281,0.989
3000m,3281,0.9875
5000m,3281,0.9867
800m,6007,0.9921
mile,6007,0.9721
3000m,6007,0.9669
5000m,6007,0.9641
800m,5279,0.9937
mile,5279,0.9789
3000m,5279,0.9737
5000m,5279,0.9709
800m,3894,0.9963
mile,3894,0.9858
3000m,3894,0.9841
5000m,3894,0.9827
800m,6877,0.9921
mile,6877,0.9653
3000m,6877,0.9585
5000m,6877,0.9556
800m,5081,0.9941
mile,5081,0.9789
3000m,5081,0.9754
5000m,5081,0.9729